Model,val_f1,test_f1,test_acc
Multinomial NB,0.852418634549843,0.8024886462419273,0.9689597315436241
SVM,0.9129524922070985,0.8428108836759514,0.9765100671140939
Logistic Regression,0.9992322951284232,0.9238033754245122,0.9868568232662193
