Word,Count
"('customer', 'service')",7101
"('bachelors', 'degree')",6054
"('information', 'technology')",4136
"('years', 'experience')",4065
"('midsenior', 'level')",3811
"('communication', 'skills')",3492
"('fulltime', 'midsenior')",3436
"('entry', 'level')",3208
"('social', 'media')",2975
"('high', 'school')",2717
